date;home_team;away_team;home_score;away_score;tournament;city;country;neutral
01/11/1969;Italy;France;1;0;Euro;Novara;Italy;FALSE
01/11/1969;Denmark;England;4;3;Euro;Aosta;Italy;TRUE
02/11/1969;England;France;2;0;Euro;Turin;Italy;TRUE
02/11/1969;Italy;Denmark;3;1;Euro;Turin;Italy;FALSE
25/08/1975;Thailand;Australia;3;2;AFC Championship;Hong Kong;Hong Kong;TRUE
25/08/1975;Hong Kong;New Zealand;0;2;AFC Championship;Hong Kong;Hong Kong;FALSE
27/08/1975;Thailand;Singapore;3;0;AFC Championship;Hong Kong;Hong Kong;TRUE
27/08/1975;New Zealand;Malaysia;3;0;AFC Championship;Hong Kong;Hong Kong;TRUE
29/08/1975;Australia;Singapore;3;0;AFC Championship;Hong Kong;Hong Kong;TRUE
29/08/1975;Hong Kong;Malaysia;0;2;AFC Championship;Hong Kong;Hong Kong;FALSE
31/08/1975;New Zealand;Australia;3;2;AFC Championship;Hong Kong;Hong Kong;TRUE
31/08/1975;Thailand;Malaysia;3;0;AFC Championship;Hong Kong;Hong Kong;TRUE
02/09/1975;Australia;Malaysia;5;0;AFC Championship;Hong Kong;Hong Kong;TRUE
02/09/1975;New Zealand;Thailand;3;1;AFC Championship;Hong Kong;Hong Kong;TRUE
02/08/1977;Taiwan;Indonesia;5;0;AFC Championship;Taipei;Taiwan;FALSE
03/08/1977;Thailand;Singapore;2;0;AFC Championship;Taipei;Taiwan;TRUE
05/08/1977;Indonesia;Japan;1;0;AFC Championship;Taipei;Taiwan;TRUE
05/08/1977;Thailand;Hong Kong;5;0;AFC Championship;Taipei;Taiwan;TRUE
07/08/1977;Taiwan;Japan;7;0;AFC Championship;Taipei;Taiwan;FALSE
07/08/1977;Singapore;Hong Kong;1;0;AFC Championship;Taipei;Taiwan;TRUE
09/08/1977;Taiwan;Singapore;3;0;AFC Championship;Taipei;Taiwan;FALSE
09/08/1977;Thailand;Indonesia;2;1;AFC Championship;Taipei;Taiwan;TRUE
11/08/1977;Singapore;Indonesia;2;0;AFC Championship;Taipei;Taiwan;TRUE
11/08/1977;Taiwan;Thailand;1;0;AFC Championship;Taipei;Taiwan;FALSE
18/07/1979;Italy;Northern Ireland;4;0;Euro;Naples;Italy;FALSE
18/07/1979;Denmark;France;3;1;Euro;Naples;Italy;TRUE
19/07/1979;England;Finland;3;1;Euro;Sorrento;Italy;TRUE
19/07/1979;Sweden;Wales;3;0;Euro;Rimini;Italy;TRUE
20/07/1979;Northern Ireland;Norway;1;4;Euro;Naples;Italy;TRUE
20/07/1979;France;Scotland;0;0;Euro;Rimini;Italy;TRUE
21/07/1979;Switzerland;Finland;1;1;Euro;Scafati;Italy;TRUE
21/07/1979;Wales;Netherlands;0;2;Euro;Rimini;Italy;TRUE
22/07/1979;Italy;Norway;2;1;Euro;Benevento;Italy;FALSE
22/07/1979;Denmark;Scotland;2;0;Euro;Riccione;Italy;TRUE
23/07/1979;England;Switzerland;2;0;Euro;Sorrento;Italy;TRUE
23/07/1979;Sweden;Netherlands;1;1;Euro;Rimini;Italy;TRUE
25/07/1979;Italy;England;3;1;Euro;Naples;Italy;FALSE
25/07/1979;Denmark;Sweden;1;0;Euro;Rimini;Italy;TRUE
27/07/1979;Sweden;England;0;0;Euro;Naples;Italy;TRUE
28/07/1979;Italy;Denmark;0;2;Euro;Naples;Italy;FALSE
11/01/1980;India S;Western Australia;2;0;AFC Championship;Calicut;India;FALSE
12/01/1980;India N;Taiwan;0;5;AFC Championship;Calicut;India;FALSE
12/01/1980;India S;Hong Kong;2;0;AFC Championship;Calicut;India;FALSE
13/01/1980;Taiwan;Malaysia;2;0;AFC Championship;Calicut;India;TRUE
13/01/1980;India N;Western Australia;0;3;AFC Championship;Calicut;India;FALSE
14/01/1980;Western Australia;Malaysia;1;0;AFC Championship;Calicut;India;TRUE
14/01/1980;India N;Hong Kong;1;0;AFC Championship;Calicut;India;FALSE
15/01/1980;India S;Taiwan;0;0;AFC Championship;Calicut;India;FALSE
15/01/1980;Hong Kong;Malaysia;2;1;AFC Championship;Calicut;India;TRUE
16/01/1980;India S;India N;1;0;AFC Championship;Calicut;India;FALSE
16/01/1980;Taiwan;Western Australia;2;0;AFC Championship;Calicut;India;TRUE
17/01/1980;Taiwan;Hong Kong;3;0;AFC Championship;Calicut;India;TRUE
17/01/1980;India N;Malaysia;0;3;AFC Championship;Calicut;India;FALSE
18/01/1980;Hong Kong;Western Australia;1;0;AFC Championship;Calicut;India;TRUE
18/01/1980;India S;Malaysia;0;0;AFC Championship;Calicut;India;FALSE
19/01/1980;Taiwan;Western Australia;5;0;AFC Championship;Calicut;India;TRUE
19/01/1980;India S;Hong Kong;3;1;AFC Championship;Calicut;India;FALSE
20/01/1980;India S;Taiwan;0;2;AFC Championship;Calicut;India;FALSE
07/06/1981;Hong Kong;Philippines;2;0;AFC Championship;Hong Kong;Hong Kong;FALSE
07/06/1981;Taiwan;Japan;1;0;AFC Championship;Hong Kong;Hong Kong;TRUE
08/06/1981;India;Singapore;5;0;AFC Championship;Hong Kong;Hong Kong;TRUE
08/06/1981;Thailand;Indonesia;3;0;AFC Championship;Hong Kong;Hong Kong;TRUE
10/06/1981;Hong Kong;Singapore;1;0;AFC Championship;Hong Kong;Hong Kong;FALSE
10/06/1981;India;Philippines;8;0;AFC Championship;Hong Kong;Hong Kong;TRUE
11/06/1981;Taiwan;Indonesia;10;0;AFC Championship;Hong Kong;Hong Kong;TRUE
11/06/1981;Thailand;Japan;2;0;AFC Championship;Hong Kong;Hong Kong;TRUE
12/06/1981;Hong Kong;India;0;0;AFC Championship;Hong Kong;Hong Kong;FALSE
12/06/1981;Singapore;Philippines;4;1;AFC Championship;Hong Kong;Hong Kong;TRUE
13/06/1981;Taiwan;Thailand;3;0;AFC Championship;Hong Kong;Hong Kong;TRUE
13/06/1981;Japan;Indonesia;1;0;AFC Championship;Hong Kong;Hong Kong;TRUE
15/06/1981;Thailand;India;1;0;AFC Championship;Hong Kong;Hong Kong;TRUE
15/06/1981;Hong Kong;Taiwan;0;1;AFC Championship;Hong Kong;Hong Kong;FALSE
17/06/1981;Hong Kong;India;0;2;AFC Championship;Hong Kong;Hong Kong;FALSE
17/06/1981;Thailand;Taiwan;0;5;AFC Championship;Hong Kong;Hong Kong;TRUE
18/08/1982;Finland;Sweden;0;6;UEFA Euro qualification;Vammala;Finland;FALSE
28/08/1982;Norway;Iceland;2;2;UEFA Euro qualification;Tønsberg;Norway;FALSE
04/09/1982;Northern Ireland;Scotland;1;2;UEFA Euro qualification;Belfast;Northern Ireland;FALSE
09/09/1982;Iceland;Sweden;0;6;UEFA Euro qualification;Kópavogur;Iceland;FALSE
15/09/1982;Finland;Norway;0;3;UEFA Euro qualification;Kotka;Finland;FALSE
19/09/1982;England;Northern Ireland;7;1;UEFA Euro qualification;Crewe;England;FALSE
19/09/1982;Scotland;Republic of Ireland;3;0;UEFA Euro qualification;Dunfermline;Scotland;FALSE
25/09/1982;Belgium;Netherlands;3;2;UEFA Euro qualification;Brussels;Belgium;FALSE
29/09/1982;Sweden;Norway;2;0;UEFA Euro qualification;Tyresö;Sweden;FALSE
02/10/1982;Northern Ireland;Republic of Ireland;1;2;UEFA Euro qualification;Bangor;Northern Ireland;FALSE
03/10/1982;Scotland;England;0;4;UEFA Euro qualification;Dumbarton;Scotland;FALSE
10/10/1982;Switzerland;Portugal;2;0;UEFA Euro qualification;Solothurn;Switzerland;FALSE
13/10/1982;Netherlands;Denmark;2;1;UEFA Euro qualification;Groningen;Netherlands;FALSE
30/10/1982;France;Italy;1;0;UEFA Euro qualification;Valence;France;FALSE
06/11/1982;Denmark;Belgium;1;0;UEFA Euro qualification;Tårnby;Denmark;FALSE
07/11/1982;Republic of Ireland;England;0;1;UEFA Euro qualification;Dublin;Republic of Ireland;FALSE
14/11/1982;Italy;Portugal;3;0;UEFA Euro qualification;Genoa;Italy;FALSE
04/12/1982;Portugal;France;0;0;UEFA Euro qualification;Lisbon;Portugal;FALSE
12/02/1983;France;Portugal;2;0;UEFA Euro qualification;Pauillac;France;FALSE
05/03/1983;Germany;Belgium;1;1;UEFA Euro qualification;Bergisch Gladbach;Germany;FALSE
18/03/1983;Republic of Ireland;Scotland;1;1;UEFA Euro qualification;Dublin;Republic of Ireland;FALSE
19/03/1983;Netherlands;Germany;2;2;UEFA Euro qualification;Venray;Netherlands;FALSE
03/04/1983;Portugal;Switzerland;1;1;UEFA Euro qualification;Coimbra;Portugal;FALSE
10/04/1983;Thailand;Malaysia;8;0;AFC Championship;Bangkok;Thailand;FALSE
10/04/1983;India;Philippines;5;0;AFC Championship;Bangkok;Thailand;TRUE
10/04/1983;Singapore;Hong Kong;2;0;AFC Championship;Bangkok;Thailand;TRUE
11/04/1983;Thailand;Singapore;3;0;AFC Championship;Bangkok;Thailand;FALSE
11/04/1983;India;Hong Kong;1;0;AFC Championship;Bangkok;Thailand;TRUE
11/04/1983;Malaysia;Philippines;1;0;AFC Championship;Bangkok;Thailand;TRUE
12/04/1983;Singapore;Philippines;5;0;AFC Championship;Bangkok;Thailand;TRUE
12/04/1983;Thailand;Hong Kong;4;0;AFC Championship;Bangkok;Thailand;FALSE
12/04/1983;India;Malaysia;3;0;AFC Championship;Bangkok;Thailand;TRUE
14/04/1983;Singapore;Malaysia;5;1;AFC Championship;Bangkok;Thailand;TRUE
14/04/1983;Philippines;Hong Kong;2;0;AFC Championship;Bangkok;Thailand;TRUE
14/04/1983;Thailand;India;2;1;AFC Championship;Bangkok;Thailand;FALSE
15/04/1983;Thailand;Philippines;5;0;AFC Championship;Bangkok;Thailand;FALSE
15/04/1983;Malaysia;Hong Kong;5;0;AFC Championship;Bangkok;Thailand;TRUE
15/04/1983;India;Singapore;1;0;AFC Championship;Bangkok;Thailand;TRUE
17/04/1983;Scotland;Northern Ireland;3;0;UEFA Euro qualification;Glasgow;Scotland;FALSE
17/04/1983;Malaysia;Singapore;0;0;AFC Championship;Bangkok;Thailand;TRUE
17/04/1983;Thailand;India;3;0;AFC Championship;Bangkok;Thailand;FALSE
23/04/1983;Netherlands;Belgium;5;0;UEFA Euro qualification;Oosterhout;Netherlands;FALSE
24/04/1983;Italy;France;3;0;UEFA Euro qualification;Vicenza;Italy;FALSE
30/04/1983;Germany;Denmark;1;1;UEFA Euro qualification;Delmenhorst;Germany;FALSE
07/05/1983;France;Switzerland;1;1;UEFA Euro qualification;Meaux;France;FALSE
14/05/1983;Northern Ireland;England;0;4;UEFA Euro qualification;Belfast;Northern Ireland;FALSE
22/05/1983;England;Scotland;2;0;UEFA Euro qualification;Leeds;England;FALSE
23/05/1983;Switzerland;Italy;0;2;UEFA Euro qualification;Lugano;Switzerland;FALSE
08/06/1983;Sweden;Finland;5;0;UEFA Euro qualification;Sollefteå;Sweden;FALSE
24/06/1983;Portugal;Italy;0;2;UEFA Euro qualification;Porto;Portugal;FALSE
30/07/1983;Iceland;Norway;0;1;UEFA Euro qualification;Kópavogur;Iceland;FALSE
18/08/1983;Norway;Finland;3;0;UEFA Euro qualification;Lillestrøm;Norway;FALSE
19/08/1983;Belgium;Denmark;2;2;UEFA Euro qualification;Brussels;Belgium;FALSE
21/08/1983;Iceland;Finland;0;2;UEFA Euro qualification;Kópavogur;Iceland;FALSE
24/08/1983;Sweden;Iceland;5;0;UEFA Euro qualification;Ronneby;Sweden;FALSE
27/08/1983;Finland;Iceland;3;0;UEFA Euro qualification;Porvoo;Finland;FALSE
11/09/1983;England;Republic of Ireland;6;0;UEFA Euro qualification;Reading;England;FALSE
17/09/1983;Italy;Switzerland;2;0;UEFA Euro qualification;Rome;Italy;FALSE
24/09/1983;Norway;Sweden;1;2;UEFA Euro qualification;Elverum;Norway;FALSE
24/09/1983;Denmark;Germany;1;0;UEFA Euro qualification;Sønderborg;Denmark;FALSE
08/10/1983;Germany;Netherlands;1;1;UEFA Euro qualification;Siegen;Germany;FALSE
22/10/1983;Belgium;Germany;1;1;UEFA Euro qualification;Brussels;Belgium;FALSE
23/10/1983;Republic of Ireland;Northern Ireland;3;2;UEFA Euro qualification;Dublin;Republic of Ireland;FALSE
29/10/1983;Switzerland;France;0;0;UEFA Euro qualification;Burgdorf;Switzerland;FALSE
29/10/1983;Denmark;Netherlands;2;0;UEFA Euro qualification;Sønderborg;Denmark;FALSE
28/11/1983;New Caledonia;Fiji;2;0;OFC Championship;Nouméa;New Caledonia;FALSE
28/11/1983;New Zealand;Australia;0;0;OFC Championship;Nouméa;New Caledonia;TRUE
30/11/1983;New Caledonia;Australia;0;5;OFC Championship;Nouméa;New Caledonia;FALSE
30/11/1983;New Zealand;Fiji;15;1;OFC Championship;Nouméa;New Caledonia;TRUE
02/12/1983;Australia;Fiji;13;0;OFC Championship;Nouméa;New Caledonia;TRUE
02/12/1983;New Caledonia;New Zealand;0;6;OFC Championship;Nouméa;New Caledonia;FALSE
04/12/1983;New Zealand;Australia;3;2;OFC Championship;Nouméa;New Caledonia;TRUE
08/04/1984;England;Denmark;2;1;UEFA Euro;Crewe;England;FALSE
08/04/1984;Italy;Sweden;2;3;UEFA Euro;Rome;Italy;FALSE
28/04/1984;Denmark;England;0;1;UEFA Euro;Hjørring;Denmark;FALSE
28/04/1984;Sweden;Italy;2;1;UEFA Euro;Linköping;Sweden;FALSE
12/05/1984;Sweden;England;1;0;UEFA Euro;Gothenburg;Sweden;FALSE
27/05/1984;England;Sweden;1;0;UEFA Euro;Luton;England;FALSE
26/09/1984;Finland;Norway;0;0;UEFA Euro qualification;Tuusula;Finland;FALSE
03/10/1984;Germany;Finland;1;0;UEFA Euro qualification;Lüdenscheid;Germany;FALSE
24/10/1984;Denmark;Finland;1;1;UEFA Euro qualification;Odense;Denmark;FALSE
16/03/1985;Netherlands;France;1;0;UEFA Euro qualification;Leeuwarden;Netherlands;FALSE
17/03/1985;England;Scotland;4;0;UEFA Euro qualification;England;England;FALSE
27/04/1985;Hungary;Spain;1;0;UEFA Euro qualification;Hungary;Hungary;FALSE
01/05/1985;Denmark;Germany;3;0;UEFA Euro qualification;Sønderborg;Denmark;FALSE
04/05/1985;Belgium;France;3;1;UEFA Euro qualification;Zaventem;Belgium;FALSE
05/05/1985;Republic of Ireland;Northern Ireland;1;0;UEFA Euro qualification;Republic of Ireland;Republic of Ireland;FALSE
11/05/1985;Finland;Denmark;0;2;UEFA Euro qualification;Kotka;Finland;FALSE
25/05/1985;Northern Ireland;England;1;7;UEFA Euro qualification;Northern Ireland;Northern Ireland;FALSE
25/05/1985;France;Sweden;0;4;UEFA Euro qualification;Pauillac;France;FALSE
25/05/1985;Hungary;Italy;2;3;UEFA Euro qualification;Gyöngyös;Hungary;FALSE
02/06/1985;Scotland;Republic of Ireland;2;1;UEFA Euro qualification;Scotland;Scotland;FALSE
11/06/1985;Sweden;Netherlands;2;0;UEFA Euro qualification;Helsingborg;Sweden;FALSE
25/06/1985;Spain;Switzerland;0;2;UEFA Euro qualification;Cuenca;Spain;FALSE
07/09/1985;Germany;Norway;2;3;UEFA Euro qualification;Lüneburg;Germany;FALSE
14/09/1985;Italy;Switzerland;3;0;UEFA Euro qualification;Padova;Italy;FALSE
22/09/1985;Republic of Ireland;England;0;6;UEFA Euro qualification;Cork;Republic of Ireland;FALSE
28/09/1985;Belgium;Netherlands;1;3;UEFA Euro qualification;Zaventem;Belgium;FALSE
02/10/1985;Norway;Denmark;2;2;UEFA Euro qualification;Oslo;Norway;FALSE
05/10/1985;Finland;Germany;1;0;UEFA Euro qualification;Turku;Finland;FALSE
09/10/1985;Sweden;Belgium;5;0;UEFA Euro qualification;Jönköping;Sweden;FALSE
12/10/1985;Switzerland;Hungary;1;2;UEFA Euro qualification;Renens;Switzerland;FALSE
26/10/1985;France;Netherlands;3;5;UEFA Euro qualification;Cambrai;France;FALSE
03/11/1985;Spain;Italy;2;3;UEFA Euro qualification;Palma;Spain;FALSE
23/11/1985;Northern Ireland;Scotland;1;9;UEFA Euro qualification;Northern Ireland;Northern Ireland;FALSE
15/03/1986;France;Belgium;3;1;UEFA Euro qualification;Niederbronn;France;FALSE
16/03/1986;England;Northern Ireland;10;0;UEFA Euro qualification;England;England;FALSE
29/03/1986;New Zealand;Australia;0;1;OFC Championship;Christchurch;New Zealand;FALSE
31/03/1986;Taiwan;Australia;1;0;OFC Championship;Christchurch;New Zealand;TRUE
02/04/1986;New Zealand;Taiwan;1;2;OFC Championship;Christchurch;New Zealand;FALSE
04/04/1986;Taiwan;Australia;4;1;OFC Championship;Christchurch;New Zealand;TRUE
05/04/1986;Spain;Hungary;1;2;UEFA Euro qualification;Spain;Spain;FALSE
27/04/1986;England;Republic of Ireland;4;0;UEFA Euro qualification;Reading;England;FALSE
03/05/1986;Italy;Hungary;1;0;UEFA Euro qualification;Potenza;Italy;FALSE
17/05/1986;Sweden;France;1;0;UEFA Euro qualification;Karlskoga;Sweden;FALSE
19/05/1986;Norway;Germany;0;0;UEFA Euro qualification;Oslo;Norway;FALSE
25/05/1986;Scotland;Northern Ireland;7;0;UEFA Euro qualification;Scotland;Scotland;FALSE
10/06/1986;Switzerland;Spain;0;3;UEFA Euro qualification;Solothurn;Switzerland;FALSE
30/08/1986;Northern Ireland;Republic of Ireland;0;1;UEFA Euro qualification;Northern Ireland;Northern Ireland;FALSE
10/09/1986;Denmark;Norway;2;5;UEFA Euro qualification;Vejle;Denmark;FALSE
20/09/1986;Netherlands;Belgium;3;0;UEFA Euro qualification;Oosterhout;Netherlands;FALSE
28/09/1986;Republic of Ireland;Scotland;1;5;UEFA Euro qualification;Republic of Ireland;Republic of Ireland;FALSE
01/10/1986;Belgium;Sweden;1;2;UEFA Euro qualification;Aalst;Belgium;FALSE
04/10/1986;Germany;Denmark;2;0;UEFA Euro qualification;Bergisch Gladbach;Germany;FALSE
04/10/1986;Norway;Finland;2;0;UEFA Euro qualification;Oslo;Norway;FALSE
11/10/1986;Hungary;Switzerland;1;1;UEFA Euro qualification;Eger;Hungary;FALSE
11/10/1986;Italy;Spain;1;1;UEFA Euro qualification;Modena;Italy;FALSE
12/10/1986;Scotland;England;1;3;UEFA Euro qualification;Scotland;Scotland;FALSE
18/10/1986;Netherlands;Sweden;2;0;UEFA Euro qualification;Hoogeveen;Netherlands;FALSE
01/11/1986;Switzerland;Italy;1;2;UEFA Euro qualification;Basel;Switzerland;FALSE
14/12/1986;China PR;Japan;2;0;AFC Championship;Hong Kong;Hong Kong;TRUE
14/12/1986;Hong Kong;Nepal;1;0;AFC Championship;Hong Kong;Hong Kong;FALSE
15/12/1986;Thailand;Indonesia;4;0;AFC Championship;Hong Kong;Hong Kong;TRUE
16/12/1986;China PR;Malaysia;10;0;AFC Championship;Hong Kong;Hong Kong;TRUE
17/12/1986;Thailand;Nepal;5;0;AFC Championship;Hong Kong;Hong Kong;TRUE
17/12/1986;Hong Kong;Indonesia;0;1;AFC Championship;Hong Kong;Hong Kong;FALSE
18/12/1986;Japan;Malaysia;10;0;AFC Championship;Hong Kong;Hong Kong;TRUE
19/12/1986;Indonesia;Nepal;6;0;AFC Championship;Hong Kong;Hong Kong;TRUE
19/12/1986;Hong Kong;Thailand;0;2;AFC Championship;Hong Kong;Hong Kong;FALSE
21/12/1986;China PR;Indonesia;9;0;AFC Championship;Hong Kong;Hong Kong;TRUE
21/12/1986;Thailand;Japan;0;4;AFC Championship;Hong Kong;Hong Kong;TRUE
23/12/1986;Thailand;Indonesia;3;1;AFC Championship;Hong Kong;Hong Kong;TRUE
23/12/1986;China PR;Japan;2;0;AFC Championship;Hong Kong;Hong Kong;TRUE
11/06/1987;Norway;Italy;2;0;UEFA Euro;Oslo;Norway;FALSE
11/06/1987;Sweden;England;3;2;UEFA Euro;Moss;Norway;TRUE
13/06/1987;Italy;England;2;1;UEFA Euro;Drammen;Norway;TRUE
14/06/1987;Norway;Sweden;2;1;UEFA Euro;Oslo;Norway;FALSE
10/09/1987;Finland;Norway;3;3;UEFA Euro qualification;Kerava;Finland;FALSE
30/09/1987;Sweden;Netherlands;0;0;UEFA Euro qualification;Linköping;Sweden;FALSE
07/10/1987;Norway;Denmark;0;1;UEFA Euro qualification;Oslo;Norway;FALSE
07/10/1987;Hungary;Germany;0;1;UEFA Euro qualification;Budapest;Hungary;FALSE
11/10/1987;Bulgaria;Spain;1;1;UEFA Euro qualification;Sofia;Bulgaria;FALSE
18/10/1987;Belgium;Czechoslovakia;1;1;UEFA Euro qualification;Aalst;Belgium;FALSE
24/10/1987;Belgium;France;0;2;UEFA Euro qualification;Mouscron;Belgium;FALSE
25/10/1987;Finland;England;1;2;UEFA Euro qualification;Finland;Finland;FALSE
07/11/1987;Netherlands;Scotland;4;0;UEFA Euro qualification;Nuth;Netherlands;FALSE
08/11/1987;England;Denmark;2;1;UEFA Euro qualification;Blackburn;England;FALSE
08/11/1987;Czechoslovakia;Spain;1;0;UEFA Euro qualification;Czechoslovakia;Czechoslovakia;FALSE
14/11/1987;Hungary;Switzerland;7;1;UEFA Euro qualification;Szolnok;Hungary;FALSE
15/11/1987;Germany;Italy;3;0;UEFA Euro qualification;Burghausen;Germany;FALSE
21/11/1987;France;Bulgaria;5;0;UEFA Euro qualification;Lucé;France;FALSE
29/11/1987;Republic of Ireland;Netherlands;0;1;UEFA Euro qualification;Dublin;Republic of Ireland;FALSE
19/12/1987;Spain;Belgium;1;0;UEFA Euro qualification;Aranjuez;Spain;FALSE
06/03/1988;Spain;France;1;3;UEFA Euro qualification;Palma del Río;Spain;FALSE
12/03/1988;Netherlands;Republic of Ireland;2;0;UEFA Euro qualification;Delft;Netherlands;FALSE
20/03/1988;Spain;Bulgaria;1;0;UEFA Euro qualification;Torrent;Spain;FALSE
02/04/1988;Italy;Germany;0;0;UEFA Euro qualification;Andria;Italy;FALSE
02/04/1988;Czechoslovakia;Belgium;0;0;UEFA Euro qualification;Hodonín;Czechoslovakia;FALSE
03/04/1988;Republic of Ireland;Scotland;2;1;UEFA Euro qualification;Dublin;Republic of Ireland;FALSE
09/04/1988;Bulgaria;Belgium;0;0;UEFA Euro qualification;Sofia;Bulgaria;FALSE
24/04/1988;France;Spain;0;0;UEFA Euro qualification;Castelsarrasin;France;FALSE
24/04/1988;Bulgaria;Czechoslovakia;0;1;UEFA Euro qualification;Stanke Dimitrov;Bulgaria;FALSE
30/04/1988;Italy;Hungary;5;1;UEFA Euro qualification;San Benedetto del Tronto;Italy;FALSE
07/05/1988;Republic of Ireland;Sweden;1;1;UEFA Euro qualification;Dublin;Republic of Ireland;FALSE
07/05/1988;France;Czechoslovakia;2;2;UEFA Euro qualification;Thonon;France;FALSE
08/05/1988;Denmark;England;2;0;UEFA Euro qualification;Herning;Denmark;FALSE
14/05/1988;Germany;Switzerland;0;0;UEFA Euro qualification;Pforzheim;Germany;FALSE
14/05/1988;Spain;Czechoslovakia;0;2;UEFA Euro qualification;Figueres;Spain;FALSE
22/05/1988;France;Belgium;0;0;UEFA Euro qualification;Loison-sous-Lens;France;FALSE
26/05/1988;Norway;Finland;0;2;UEFA Euro qualification;Nesbyen;Norway;FALSE
28/05/1988;Denmark;Finland;3;1;UEFA Euro qualification;Copenhagen;Denmark;FALSE
11/06/1988;Switzerland;Hungary;3;0;UEFA Euro qualification;Zürich;Switzerland;FALSE
18/06/1988;Italy;Switzerland;5;0;UEFA Euro qualification;Levanto;Italy;FALSE
21/08/1988;Norway;England;2;0;UEFA Euro qualification;Klepp;Norway;FALSE
24/08/1988;Finland;Denmark;1;2;UEFA Euro qualification;Vantaa;Finland;FALSE
04/09/1988;England;Finland;1;1;UEFA Euro qualification;England;England;FALSE
04/09/1988;Denmark;Norway;3;2;UEFA Euro qualification;Aalborg;Denmark;FALSE
17/09/1988;Switzerland;Germany;0;10;UEFA Euro qualification;Binningen;Switzerland;FALSE
18/09/1988;England;Norway;1;3;UEFA Euro qualification;Blackburn;England;FALSE
18/09/1988;Sweden;Republic of Ireland;4;0;UEFA Euro qualification;Mariestad;Sweden;FALSE
01/10/1988;Netherlands;Sweden;1;0;UEFA Euro qualification;Valkenswaard;Netherlands;FALSE
01/10/1988;Belgium;Bulgaria;5;0;UEFA Euro qualification;Tienen;Belgium;FALSE
08/10/1988;Hungary;Italy;0;0;UEFA Euro qualification;Baja;Hungary;FALSE
08/10/1988;Czechoslovakia;France;0;0;UEFA Euro qualification;Frýdek-Místek;Czechoslovakia;FALSE
15/10/1988;Denmark;Sweden;1;5;UEFA Euro qualification;Odense;Denmark;FALSE
22/10/1988;Norway;Netherlands;2;1;UEFA Euro qualification;Horten;Norway;FALSE
23/10/1988;Czechoslovakia;Bulgaria;3;0;UEFA Euro qualification;Czechoslovakia;Czechoslovakia;FALSE
26/10/1988;Sweden;Denmark;1;1;UEFA Euro qualification;Borås;Sweden;FALSE
29/10/1988;Belgium;Spain;1;0;UEFA Euro qualification;Antwerp;Belgium;FALSE
30/10/1988;Switzerland;Italy;0;6;UEFA Euro qualification;Caslano;Switzerland;FALSE
30/10/1988;Germany;Hungary;4;0;UEFA Euro qualification;Passau;Germany;FALSE
05/11/1988;Netherlands;Norway;0;3;UEFA Euro qualification;Rijsoord;Netherlands;FALSE
06/11/1988;Bulgaria;France;0;2;UEFA Euro qualification;Sofia;Bulgaria;FALSE
26/11/1988;Czechoslovakia;Germany;1;1;UEFA Euro qualification;Bratislava;Czechoslovakia;FALSE
27/11/1988;Italy;France;2;0;UEFA Euro qualification;Reggio Emilia;Italy;FALSE
11/12/1988;France;Italy;1;2;UEFA Euro qualification;Vallauris;France;FALSE
17/12/1988;Germany;Czechoslovakia;2;0;UEFA Euro qualification;Kaiserslautern;Germany;FALSE
26/03/1989;Australia;New Zealand;0;2;OFC Championship;Brisbane;Australia;FALSE
27/03/1989;Taiwan;Papua New Guinea;6;1;OFC Championship;Brisbane;Australia;TRUE
28/03/1989;New Zealand;Taiwan;1;0;OFC Championship;Brisbane;Australia;TRUE
28/03/1989;Australia;Papua New Guinea;6;0;OFC Championship;Brisbane;Australia;FALSE
30/03/1989;New Zealand;Papua New Guinea;5;0;OFC Championship;Brisbane;Australia;TRUE
31/03/1989;Australia;Taiwan;1;4;OFC Championship;Brisbane;Australia;FALSE
01/04/1989;Taiwan;New Zealand;1;0;OFC Championship;Brisbane;Australia;TRUE
28/06/1989;Germany;Italy;1;1;UEFA Euro;Siegen;Germany;FALSE
28/06/1989;Sweden;Norway;1;2;UEFA Euro;Lüdenscheid;Germany;TRUE
30/06/1989;Sweden;Italy;2;1;UEFA Euro;Osnabrück;Germany;TRUE
02/07/1989;Germany;Norway;4;1;UEFA Euro;Osnabrück;Germany;FALSE
09/09/1989;Finland;Norway;0;1;UEFA Euro qualification;Varkaus;Finland;FALSE
01/10/1989;England;Finland;0;0;UEFA Euro qualification;Brentford;England;FALSE
01/10/1989;Germany;Hungary;0;0;UEFA Euro qualification;Straubing;Germany;FALSE
14/10/1989;Czechoslovakia;Bulgaria;2;0;UEFA Euro qualification;Czechoslovakia;Czechoslovakia;FALSE
14/10/1989;Switzerland;Denmark;0;4;UEFA Euro qualification;Bern;Switzerland;FALSE
15/10/1989;Poland;France;1;3;UEFA Euro qualification;Knurów;Poland;FALSE
15/10/1989;Norway;Belgium;4;0;UEFA Euro qualification;Kongsvinger;Norway;FALSE
22/10/1989;Sweden;Poland;4;1;UEFA Euro qualification;Helsingborg;Sweden;FALSE
28/10/1989;Bulgaria;Hungary;0;3;UEFA Euro qualification;Bulgaria;Bulgaria;FALSE
04/11/1989;Spain;Switzerland;0;0;UEFA Euro qualification;Benicàssim;Spain;FALSE
18/11/1989;Netherlands;Republic of Ireland;2;0;UEFA Euro qualification;Koog aan de Zaan;Netherlands;FALSE
22/11/1989;Germany;Czechoslovakia;5;0;UEFA Euro qualification;Marburg;Germany;FALSE
