date;home_team;away_team;home_score;away_score;tournament;city;country;neutral
21/11/2010;Chile;Brazil;1;3;Copa América;Quito;Ecuador;TRUE
21/01/2011;Sweden;United States;2;1;Four Nations Tournament;Chongqing;China PR;TRUE
21/01/2011;China PR;Canada;2;3;Four Nations Tournament;Chongqing;China PR;FALSE
23/01/2011;China PR;Sweden;2;1;Four Nations Tournament;Chongqing;China PR;FALSE
23/01/2011;United States;Canada;2;1;Four Nations Tournament;Chongqing;China PR;TRUE
25/01/2011;Canada;Sweden;1;0;Four Nations Tournament;Chongqing;China PR;TRUE
25/01/2011;China PR;United States;0;2;Four Nations Tournament;Chongqing;China PR;FALSE
02/03/2011;Norway;Finland;2;1;Algarve Cup;Lagos;Portugal;TRUE
02/03/2011;United States;Japan;2;1;Algarve Cup;Vila Real de Santo António;Portugal;TRUE
02/03/2011;Sweden;Iceland;1;2;Algarve Cup;Loulé;Portugal;TRUE
02/03/2011;China PR;Denmark;0;1;Algarve Cup;Ferreiras;Portugal;TRUE
02/03/2011;Portugal;Wales;3;1;Algarve Cup;Vila Real de Santo António;Portugal;FALSE
02/03/2011;Romania;Chile;2;0;Algarve Cup;Lagos;Portugal;TRUE
02/03/2011;Canada;Scotland;1;0;Cyprus Cup;Larnaca;Cyprus;TRUE
02/03/2011;England;Italy;2;0;Cyprus Cup;Larnaca;Cyprus;TRUE
02/03/2011;France;Switzerland;2;0;Cyprus Cup;Nicosia;Cyprus;TRUE
02/03/2011;New Zealand;Netherlands;1;4;Cyprus Cup;Nicosia;Cyprus;TRUE
02/03/2011;South Korea;Northern Ireland;3;1;Cyprus Cup;Sotira;Cyprus;TRUE
02/03/2011;Russia;Mexico;0;0;Cyprus Cup;Paralimni;Cyprus;TRUE
03/03/2011;Macedonia;Lithuania;1;1;UEFA Euro qualification;Strumica;Macedonia;FALSE
03/03/2011;Luxembourg;Latvia;2;0;UEFA Euro qualification;Strumica;Macedonia;TRUE
03/03/2011;Malta;Georgia;1;0;UEFA Euro qualification;Ta' Qali;Malta;FALSE
03/03/2011;Faroe Islands;Armenia;0;1;UEFA Euro qualification;Ta' Qali;Malta;TRUE
04/03/2011;Japan;Finland;5;0;Algarve Cup;Lagos;Portugal;TRUE
04/03/2011;United States;Norway;2;0;Algarve Cup;Vila Real de Santo António;Portugal;TRUE
04/03/2011;Iceland;China PR;2;1;Algarve Cup;Albufeira;Portugal;TRUE
04/03/2011;Denmark;Sweden;1;3;Algarve Cup;Olhão;Portugal;TRUE
04/03/2011;Portugal;Chile;0;0;Algarve Cup;Vila Real de Santo António;Portugal;FALSE
04/03/2011;Wales;Romania;2;1;Algarve Cup;Lagos;Portugal;TRUE
04/03/2011;England;Scotland;0;2;Cyprus Cup;Nicosia;Cyprus;TRUE
